Petition,URL,State,Signatures Count
"Introduce an app to vote on policies, laws, bills and drafts.",https://petition.parliament.uk/archived/petitions/105158,closed,33
George Osborne give the NHS the £30 Billion from NI contributions.,https://petition.parliament.uk/archived/petitions/105163,closed,90
Automatically provide flat rate expenses to NHS midwives,https://petition.parliament.uk/archived/petitions/105165,closed,8
"Repeal the ban on ownership of handguns, and include personal protection.",https://petition.parliament.uk/archived/petitions/105167,closed,2001
Make tampons and sanitary towels free for every woman.,https://petition.parliament.uk/archived/petitions/105172,closed,222
"Ban Pornography completely in the U.K, for all ages and genders.",https://petition.parliament.uk/archived/petitions/105178,closed,24
call for a referendum to ask whether the House Of Lords should be abolished,https://petition.parliament.uk/archived/petitions/105187,closed,45
Lower the state pension age for terminally ill persons to 60.,https://petition.parliament.uk/archived/petitions/105188,closed,206
Switch the government's inflation target to a nominal GDP level target.,https://petition.parliament.uk/archived/petitions/105190,closed,8
Introduce the ballot initiative,https://petition.parliament.uk/archived/petitions/105194,closed,16
"Reassess punishment of convicted pedophiles of past, present and future.",https://petition.parliament.uk/archived/petitions/105202,closed,62
Police officers must stay at the police station until  they're called out,https://petition.parliament.uk/archived/petitions/105208,closed,8
Stop companies from overcharging UK & Europe for the same service as the US.,https://petition.parliament.uk/archived/petitions/105215,closed,179
Review CAA regulations for return to flight of ex military aircraft.,https://petition.parliament.uk/archived/petitions/105220,closed,631
Hold  a referendum about England Independence and an English Parliament,https://petition.parliament.uk/archived/petitions/105225,closed,112
